,Franchise,Total Gross,Total Movies,Average Revenue,Top Movie,Top Gross,FranchiseID,MovieID
1,300,317.2,2,158.6,300,210.6,/chart/?id=300.htm,/movies/?id=300.htm
4,Alice in Wonderland,411.2,2,205.6,Alice in Wonderland,334.2,/chart/?id=aliceinwonderland.htm,/movies/?id=aliceinwonderland10.htm
6,Alvin and the Chipmunks,662.7,5,132.5,Alvin and the Chipmunks 2,219.6,/chart/?id=alvinseries.htm,/movies/?id=alvinandthechipmunksii.htm
8,American Pie,409.2,4,102.3,American Pie 2,145.1,/chart/?id=americanpie.htm,/movies/?id=americanpie2.htm
15,Austin Powers,473.2,3,157.7,Goldmember,213.3,/chart/?id=austinpowers.htm,/movies/?id=austinpowers3.htm
17,Avengers,1755.3,3,585.1,Avengers: Infinity War,672.9,/chart/?id=avengersfranchise.htm,/movies/?id=marvel0518.htm
18,Back to the Future,416.8,3,138.9,Back to the Future,210.6,/chart/?id=backtothefuture.htm,/movies/?id=backtothefuture.htm
19,Bad Boys,204.4,2,102.2,Bad Boys II,138.6,/chart/?id=badboys.htm,/movies/?id=badboys2.htm
23,Batman,2407.7,11,218.9,The Dark Knight,533.3,/chart/?id=batman.htm,/movies/?id=darkknight.htm
27,Beverly Hills Cop,431.0,3,143.7,Beverly Hills Cop,234.8,/chart/?id=beverlyhillscop.htm,/movies/?id=beverlyhillscop.htm
32,Bourne,801.0,5,160.2,The Bourne Ultimatum,227.5,/chart/?id=bourne.htm,/movies/?id=bourneultimatum.htm
34,Captain America,844.5,3,281.5,Captain America 3,408.1,/chart/?id=captainamerica.htm,/movies/?id=marvel2016.htm
36,Cars,588.4,3,196.1,Cars,244.1,/chart/?id=pixarcars.htm,/movies/?id=cars.htm
38,The Chronicles of Narnia,537.7,3,179.2,The Chronicles of Narnia,291.7,/chart/?id=chroniclesofnarnia.htm,/movies/?id=narnia.htm
39,Cloudy with a Chance of Meatballs,244.7,2,122.3,Cloudy with a Chance of Meatballs,124.9,/chart/?id=cloudy.htm,/movies/?id=cloudywithachanceofmeatballs.htm
42,The Conjuring,426.2,4,106.6,The Conjuring,137.4,/chart/?id=conjuringfranchise.htm,/movies/?id=conjuring.htm
43,Crocodile Dundee,309.7,3,103.2,Crocodile Dundee,174.8,/chart/?id=crocodiledundee.htm,/movies/?id=crocodiledundee.htm
44,Daddy's Home,254.4,2,127.2,Daddy's Home,150.4,/chart/?id=daddyshome.htm,/movies/?id=daddyshome.htm
45,The Dark Knight Trilogy,1186.8,3,395.6,The Dark Knight,533.3,/chart/?id=darkknighttrilogy.htm,/movies/?id=darkknight.htm
47,DC Extended Universe,1588.1,5,317.6,Wonder Woman,412.6,/chart/?id=dc.htm,/movies/?id=wonderwoman.htm
48,Deadpool,674.2,2,337.1,Deadpool,363.1,/chart/?id=deadpool.htm,/movies/?id=deadpool2016.htm
49,Despicable Me,1220.2,4,305.1,Despicable Me 2,368.1,/chart/?id=despicableme.htm,/movies/?id=despicableme2.htm
52,Die Hard,502.4,5,100.5,Live Free or Die Hard,134.5,/chart/?id=diehard.htm,/movies/?id=diehard4.htm
54,Disney Live Action Reimaginings,2169.1,9,241.0,Beauty and the Beast,504.0,/chart/?id=disneyliveaction.htm,/movies/?id=beautyandthebeast2017.htm
55,Divergent,347.3,3,115.8,Divergent,150.9,/chart/?id=divergent.htm,/movies/?id=divergent.htm
66,Fantastic Four,342.7,3,114.2,Fantastic Four (2005),154.7,/chart/?id=fantasticfour.htm,/movies/?id=fantasticfour.htm
67,The Fast and the Furious,1516.8,8,189.6,Furious 7,353.0,/chart/?id=fastandthefurious.htm,/movies/?id=fast7.htm
68,Fifty Shades,381.2,3,127.1,Fifty Shades of Grey,166.2,/chart/?id=fiftyshades.htm,/movies/?id=fiftyshadesofgrey.htm
70,Finding Nemo,826.0,2,413.0,Finding Dory,486.3,/chart/?id=findingnemo.htm,/movies/?id=pixar2015.htm
71,Fockers,593.9,3,198.0,Meet the Fockers,279.3,/chart/?id=fockers.htm,/movies/?id=meetthefockers.htm
76,G.I. Joe,272.7,2,136.4,G.I. Joe: The Rise of Cobra,150.2,/chart/?id=gijoe.htm,/movies/?id=gijoe.htm
77,Ghostbusters,470.1,3,156.7,Ghostbusters,229.2,/chart/?id=ghostbusters.htm,/movies/?id=ghostbusters.htm
81,Godzilla and Kong Universe,368.7,2,184.4,Godzilla,200.7,/chart/?id=godzillakong.htm,/movies/?id=godzilla2012.htm
82,Grown Ups,295.7,2,147.8,Grown Ups,162.0,/chart/?id=grownups.htm,/movies/?id=grownups.htm
83,Guardians of the Galaxy,723.0,2,361.5,Guardians of the Galaxy 2,389.8,/chart/?id=gotg.htm,/movies/?id=marvel17a.htm
85,The Hangover,644.0,3,214.7,The Hangover,277.3,/chart/?id=hangover.htm,/movies/?id=hangover.htm
88,Harry Potter,2391.8,9,265.8,Harry Potter / Deathly Hallows (P2),381.0,/chart/?id=harrypotter.htm,/movies/?id=harrypotter72.htm
94,The Hobbit,816.5,3,272.2,The Hobbit,303.0,/chart/?id=hobbit.htm,/movies/?id=hobbit.htm
95,Home Alone,490.2,3,163.4,Home Alone,285.8,/chart/?id=homealone.htm,/movies/?id=homealone.htm
97,Hotel Transylvania,318.0,2,159.0,Hotel Transylvania 2,169.7,/chart/?id=hoteltransylvania.htm,/movies/?id=hoteltransylvania2.htm
99,How to Train Your Dragon,394.6,2,197.3,How to Train Your Dragon,217.6,/chart/?id=httyd.htm,/movies/?id=howtotrainyourdragon.htm
100,The Hunger Games,1451.5,4,362.9,Catching Fire,424.7,/chart/?id=hungergames.htm,/movies/?id=catchingfire.htm
101,Ice Age,793.7,5,158.7,Ice Age 3,196.6,/chart/?id=iceage.htm,/movies/?id=iceage3.htm
103,The Incredibles,709.7,2,354.9,Incredibles 2,448.3,/chart/?id=incredibles.htm,/movies/?id=theincredibles2.htm
104,Independence Day,409.3,2,204.7,Independence Day,306.2,/chart/?id=independenceday.htm,/movies/?id=independenceday.htm
105,Indiana Jones,906.4,4,226.6,Indiana Jones 4,317.1,/chart/?id=indianajones.htm,/movies/?id=indianajones4.htm
109,Iron Man,1039.9,3,346.6,Iron Man 3,409.0,/chart/?id=ironmanfranchise.htm,/movies/?id=ironman3.htm
