,Rank,Movie,Studio,Gross,Theatre,Opening,Opening Theatre,Date,Franchise,Year
0,1,300,WB,210614939,3280,70885301,3103,3/9/07,300,2007
1,2,300: Rise of An Empire,WB,106580051,3490,45038460,3470,3/7/14,300,2014
2,1,Along Came a Spider,Par.,74078174,2573,16712407,2530,4/6/01,Alex Cross,2001
3,2,Kiss the Girls,Par.,60527873,2406,13215167,2271,10/3/97,Alex Cross,1997
4,3,Alex Cross,LG/S,25888412,2541,11396768,2539,10/19/12,Alex Cross,2012
5,1,Alice in Wonderland (2010),BV,334191110,3739,116101023,3728,3/5/10,Alice in Wonderland,2010
6,2,Alice Through the Looking Glass,BV,77041381,3763,26858726,3763,5/27/16,Alice in Wonderland,2016
7,1,Prometheus,Fox,126477084,3442,51050101,3396,6/8/12,Alien,2012
8,2,Aliens,Fox,85160248,1454,10052042,1437,7/18/86,Alien,1986
9,3,Alien Vs. Predator,Fox,80282231,3401,38291056,3395,8/13/04,Alien,2004
10,4,Alien,Fox,78944891,757,3527881,91,5/25/79,Alien,1979
11,5,Alien: Covenant,Fox,74262031,3772,36160621,3761,5/19/17,Alien,2017
12,6,Alien 3,Fox,55473545,2227,19449867,2227,5/22/92,Alien,1992
13,7,Alien Resurrection,Fox,47795658,2449,16474092,2415,11/26/97,Alien,1997
14,8,Aliens Vs. Predator - Requiem,Fox,41797066,2617,10059425,2611,12/25/07,Alien,2007
15,1,Alvin and the Chipmunks: The Squeakquel,Fox,219614612,3747,48875415,3700,12/23/09,Alvin and the Chipmunks,2009
16,2,Alvin and the Chipmunks,Fox,217326974,3499,44307417,3475,12/14/07,Alvin and the Chipmunks,2007
17,3,Alvin and the Chipmunks: Chipwrecked,Fox,133110742,3734,23244744,3723,12/16/11,Alvin and the Chipmunks,2011
18,4,Alvin and the Chipmunks: The Road Chip,Fox,85886987,3705,14287159,3653,12/18/15,Alvin and the Chipmunks,2015
19,5,The Chipmunk Adventure,Gold.,6804312,916,2584720,916,5/22/87,Alvin and the Chipmunks,1987
20,1,American Pie 2,Uni.,145103595,3157,45117985,3063,8/10/01,American Pie,2001
21,2,American Wedding,Uni.,104565114,3175,33369440,3172,8/1/03,American Pie,2003
22,3,American Pie,Uni.,102561004,2544,18709680,2508,7/9/99,American Pie,1999
23,4,American Reunion,Uni.,57011521,3203,21514080,3192,4/6/12,American Pie,2012
24,1,Annabelle: Creation,WB (NL),102092201,3565,35006404,3502,8/11/17,Annabelle,2017
25,2,Annabelle,WB (NL),84273813,3215,37134255,3185,10/3/14,Annabelle,2014
26,1,Austin Powers in Goldmember,NL,213307889,3613,73071188,3613,7/26/02,Austin Powers,2002
